contact_id,brief_id,level,lsm,overlap,chars
378,10,1,0.5508,0.05,349
378,1,2,0.6041,0.0,350
378,26,2,0.4412,0.0,126
378,10,2,0.5501,0.05,362
378,1,3a,0.6265,0.1,358
378,26,3b,0.4412,0.0,125
378,26,3c,0.4412,0.0,126
378,1,3,0.5196,0.15,224
378,26,3,0.4412,0.0,125
378,10,3,0.5223,0.1,364
378,26,4,0.488,0.0,142
378,1,5,0.4214,0.05,280
378,26,5,0.4478,0.0,129
378,10,5,0.4957,0.05,370
378,26,6a,0.5193,0.0,163
378,26,6b,0.5193,0.0,165
378,10,6c,0.4786,0.1,315
378,26,6d,0.3524,0.0,280
378,1,6,0.3874,0.0,271
378,26,6,0.5186,0.0,155
378,10,6,0.5146,0.05,314
379,1,0,0.6784,0.0,330
379,26,0,0.4062,0.0,105
379,10,0,0.516,0.0,341
379,1,1,0.6671,0.0,341
379,26,1,0.4279,0.0,114
379,10,1,0.5195,0.0,350
379,1,2,0.6617,0.0,355
379,26,2,0.4301,0.0,130
379,10,2,0.5212,0.0,366
379,1,3a,0.6617,0.0,355
379,26,3b,0.4301,0.0,130
379,26,3c,0.4301,0.0,130
379,1,3,0.6563,0.05,367
379,26,3,0.4219,0.0,151
379,10,3,0.5067,0.1,378
379,26,4,0.4301,0.0,127
379,1,5,0.506,0.1,294
379,26,5,0.4265,0.0,150
379,10,5,0.5068,0.1,403
379,26,6a,0.5704,0.05,186
379,26,6b,0.4282,0.0,139
379,10,6c,0.5195,0.0,356
379,26,6d,0.5534,0.05,291
379,1,6,0.4572,0.05,310
379,26,6,0.4835,0.0,196
379,10,6,0.4769,0.0,229
