file,strings,chars,C0,C1,CJK,CR,CYR,DBLSP,EMOJI,EMPTY,ESCSEQ,FFFD,GREEK,HTMLENT,LONGTOK,LSEP,MOJI,NBSP,NON_NFC,PUA,PUNCTRUN,SYMBOL,TAB,URL,WS_EDGE,X000D,ZW
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_consolidated_summary.json,535,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_consolidated_summary.md,101,7283,0,0,0,0,0,2,3,26,0,0,5,0,1,0,0,0,0,0,0,12,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_demoC_summary.md,49,2725,0,0,0,0,0,56,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_extended_metrics.json,36,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_extended_metrics.md,45,1546,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_persona_cohort.json,1620,88044,0,0,0,0,0,119,180,0,0,0,0,51,1,0,0,0,0,0,6,0,0,0,11,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_rfm_reference_ts.txt,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_sentiment_sample.json,2970,150146,0,0,0,0,0,368,0,0,0,0,0,8,5,0,0,0,0,0,10,0,0,2,41,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/absa_llm.json,5049,156813,0,0,0,0,0,286,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,23,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/absa_per_user_cz.json,1983,47213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b10-czert_cs.json,25,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b10-distilbert_en.json,25,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b10-mbert_cs.json,25,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b10-mbert_en.json,25,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b10-xlmr_cs.json,25,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b10-xlmr_en.json,25,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b10_cs.json,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b11_cs.json,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b11_en.json,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b12_en.json,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b13_en.json,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b13v4_rich_rerank.json,1019,10258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/b14_en.json,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
